year,party,GDP_growth_pct,pres_inc,majorvote_pct,midterm_year,is_dem,dem_year_spread,inc_year_spread,dem_day20_spread,inc_day20_spread,pres_year_spread,is_pres_inc,inc_pres_year_spread
1950,D,1.914762965,True,49.71,True,1.0,9.55555555555555,9.55555555555555,5.0,5.0,-5.142857142857146,1.0,-5.142857142857146
1952,D,3.284197752,False,51.18,False,1.0,-1.7222222222222214,-1.7222222222222214,-1.72,-1.72,-29.90909090909091,-1.0,29.90909090909091
1954,R,1.956683085,True,47.6,True,-1.0,9.266666666666666,-9.266666666666666,13.5,-13.5,44.05882352941177,1.0,44.05882352941177
1956,D,1.645929023,False,51.25,False,1.0,10.588235294117645,10.588235294117645,11.0,11.0,56.66666666666667,-1.0,-56.66666666666667
1958,D,2.339305355,False,54.97,True,1.0,19.071428571428577,19.071428571428577,14.0,14.0,23.733333333333334,-1.0,-23.733333333333334
1960,D,-1.283433959,True,54.35,False,1.0,20.266666666666666,20.266666666666666,19.0,19.0,35.888888888888886,1.0,35.888888888888886
1962,D,0.328860694,True,52.87,True,1.0,22.0,22.0,14.5,14.5,54.92307692307692,1.0,54.92307692307692
1964,D,0.308892925,True,57.27,False,1.0,28.26666666666667,28.26666666666667,26.0,26.0,63.692307692307686,1.0,63.692307692307686
1966,D,0.820372287,True,50.86,True,1.0,15.608695652173914,15.608695652173914,7.5,7.5,15.866666666666667,1.0,15.866666666666667
1968,D,0.393302746,False,50.92,False,1.0,10.600000000000001,10.600000000000001,8.0,8.0,-2.7692307692307665,-1.0,2.7692307692307665
1970,D,-1.071643538,False,54.22,True,1.0,15.470588235294116,15.470588235294116,13.333333333333336,13.333333333333336,27.22222222222222,-1.0,-27.22222222222222
1972,D,1.674461271,False,52.82,False,1.0,8.0,8.0,8.0,8.0,23.0,-1.0,-23.0
1974,D,-0.388141269,False,58.57,True,1.0,27.88888888888889,27.88888888888889,25.0,25.0,-15.240000000000002,-1.0,15.240000000000002
1976,D,0.724846256,True,57.19,False,1.0,23.999999999999996,23.999999999999996,19.0,19.0,9.625,1.0,9.625
1978,D,1.344146379,True,54.31,True,1.0,21.26470588235294,21.26470588235294,19.0,19.0,7.125,1.0,7.125
1980,D,1.864925127,False,51.28,False,1.0,9.777777777777779,9.777777777777779,9.666666666666664,9.666666666666664,-7.764705882352942,-1.0,7.764705882352942
1982,D,0.039942463,False,56.15,True,1.0,14.214285714285715,14.214285714285715,9.0,9.0,-1.94736842105263,-1.0,1.94736842105263
1984,D,0.820862811,False,52.72,False,1.0,7.5,7.5,5.199999999999996,5.199999999999996,18.520000000000003,-1.0,-18.520000000000003
1986,D,0.537075736,False,55.19,True,1.0,6.157894736842103,6.157894736842103,6.0,6.0,35.0,-1.0,-35.0
1988,D,1.332495823,False,54.0,False,1.0,9.55555555555555,9.55555555555555,6.0,6.0,17.375,-1.0,-17.375
1990,D,-0.910379413,False,54.09,True,1.0,5.68,5.68,7.857142857142861,7.857142857142861,42.26190476190476,-1.0,-42.26190476190476
1992,D,1.043164688,True,52.86,False,1.0,9.107142857142861,9.107142857142861,11.571428571428577,11.571428571428577,-13.292682926829265,1.0,-13.292682926829265
1994,D,1.145524445,True,46.41,True,1.0,2.1063829787234027,2.1063829787234027,2.0,2.0,0.5517241379310391,1.0,0.5517241379310391
1996,R,1.038381988,False,49.84,False,-1.0,5.61904761904762,-5.61904761904762,7.192307692307693,-7.192307692307693,15.772727272727273,-1.0,-15.772727272727273
1998,R,1.615880229,False,50.61,True,-1.0,1.9910714285714306,-1.9910714285714306,1.6190476190476204,-1.6190476190476204,31.8,-1.0,-31.8
2000,R,0.622889589,True,50.23,False,-1.0,1.4829931972789083,-1.4829931972789083,2.3809523809523796,-2.3809523809523796,24.64285714285714,1.0,24.64285714285714
2002,R,0.154822636,True,52.55,True,-1.0,0.7743902439024382,-0.7743902439024382,0.681818181818187,-0.681818181818187,50.050000000000004,1.0,50.050000000000004
2004,R,1.001674112,True,51.37,False,-1.0,-3.680555555555557,3.680555555555557,-1.7777777777777786,1.7777777777777786,4.828571428571429,1.0,4.828571428571429
2006,R,0.85186523,True,45.91,True,-1.0,11.39272727272727,-11.39272727272727,12.939393939393938,-12.939393939393938,-19.9,1.0,-19.9
2008,D,-2.163811244,True,55.56,False,1.0,-9.615384615384613,-9.615384615384613,-9.222222222222221,-9.222222222222221,-35.357142857142854,1.0,-35.357142857142854
2010,D,0.501902537,True,46.53,True,1.0,-1.0732984293193724,-1.0732984293193724,-1.8965517241379288,-1.8965517241379288,1.0890804597701162,1.0,1.0890804597701162
2012,R,0.113873246,False,49.39,False,-1.0,1.0652173913043441,-1.0652173913043441,0.3333333333333357,-0.3333333333333357,2.031791907514453,-1.0,-2.031791907514453
2014,R,0.562793738,False,52.91,True,-1.0,-0.41538461538461746,0.41538461538461746,-2.0,2.0,-9.566091954022987,-1.0,9.566091954022987
2016,R,0.629298347,True,50.5,False,-1.0,3.3962264150943398,-3.3962264150943398,2.357142857142861,-2.357142857142861,6.839999999999996,1.0,6.839999999999996
2018,R,0.328321429,True,45.65,True,-1.0,6.970967741935482,-6.970967741935482,7.153846153846153,-7.153846153846153,-14.529411764705884,1.0,-14.529411764705884
2020,D,1.460536695,True,51.5,False,1.0,7.589743589743591,7.589743589743591,8.222222222222221,8.222222222222221,-7.666666666666671,1.0,-7.666666666666671
