expert,rating,avg
cook,1,-16.654000000000003
daily_kos,1,-16.511999999999997
fivethirtyeight,1,-14.64857142857143
cook,2,-13.163333333333332
daily_kos,2,-10.665000000000001
fivethirtyeight,2,-9.178823529411764
cook,3,-8.8475
daily_kos,3,-9.463636363636365
fivethirtyeight,3,-3.089090909090908
cook,4,-1.5122580645161274
daily_kos,4,-3.131999999999999
fivethirtyeight,4,-0.18777777777777674
cook,5,5.883076923076922
daily_kos,5,4.620000000000001
fivethirtyeight,5,5.1309090909090935
cook,6,7.559333333333332
daily_kos,6,8.0496
fivethirtyeight,6,7.329387755102037
cook,7,14.084
daily_kos,7,10.866999999999996
fivethirtyeight,7,11.635
